x,y
0,0.250000
1,0.187500
2,0.152344
3,0.129135
4,0.112459
5,0.099812
6,0.089850
7,0.081777
8,0.075089
9,0.069451
10,0.064627
11,0.060451
12,0.056796
13,0.053571
14,0.050701
15,0.048130
16,0.045814
17,0.043715
18,0.041804
19,0.040056
20,0.038452
21,0.036973
22,0.035606
23,0.034338
24,0.033159
25,0.032060
26,0.031032
27,0.030069
28,0.029165
29,0.028314
30,0.027513
31,0.026756
32,0.026040
33,0.025362
34,0.024718
35,0.024107
36,0.023526
37,0.022973
38,0.022445
39,0.021941
40,0.021460
41,0.020999
42,0.020558
43,0.020136
44,0.019730
45,0.019341
46,0.018967
47,0.018607
48,0.018261
49,0.017927
50,0.017606
51,0.017296
52,0.016997
53,0.016708
54,0.016429
55,0.016159
56,0.015898
57,0.015645
58,0.015400
59,0.015163
60,0.014933
61,0.014710
62,0.014494
63,0.014284
64,0.014080
65,0.013882
66,0.013689
67,0.013501
68,0.013319
69,0.013142
70,0.012969
71,0.012801
72,0.012637
73,0.012477
74,0.012322
75,0.012170
76,0.012022
77,0.011877
78,0.011736
79,0.011598
80,0.011464
81,0.011332
82,0.011204
83,0.011078
84,0.010956
85,0.010836
86,0.010718
87,0.010603
88,0.010491
89,0.010381
90,0.010273
91,0.010168
92,0.010064
93,0.009963
94,0.009864
95,0.009766
96,0.009671
97,0.009577
98,0.009486
99,0.009396
